ID,Species,Scientific.Name
1201,Black-tailed Flycatcher,Myiobius atricaudus
1202,Bran-colored Flycatcher,Myiophobus fasciatus
1203,Euler's Flycatcher,Lathrotriccus euleri
1204,Tawny-chested Flycatcher,Aphanotriccus capitalis
1205,Black-billed Flycatcher,Aphanotriccus audax
1206,Belted Flycatcher,Xenotriccus callizonus
1207,Pileated Flycatcher,Xenotriccus mexicanus
1208,Tufted Flycatcher,Mitrephanes phaeocercus
1209,Olive-sided Flycatcher,Contopus cooperi
1210,Greater Pewee,Contopus pertinax
1211,Dark Pewee,Contopus lugubris
1212,Ochraceous Pewee,Contopus ochraceus
1213,Western Wood-Pewee,Contopus sordidulus
1214,Eastern Wood-Pewee,Contopus virens
1215,Tropical Pewee,Contopus cinereus
1216,Cuban Pewee,Contopus caribaeus
1217,Jamaican Pewee,Contopus pallidus
1218,Hispaniolan Pewee,Contopus hispaniolensis
1219,Lesser Antillean Pewee,Contopus latirostris
1220,Yellow-bellied Flycatcher,Empidonax flaviventris
1221,Acadian Flycatcher,Empidonax virescens
1222,Alder Flycatcher,Empidonax alnorum
1223,Willow Flycatcher,Empidonax traillii
1224,White-throated Flycatcher,Empidonax albigularis
1225,Least Flycatcher,Empidonax minimus
1226,Hammond's Flycatcher,Empidonax hammondii
1227,Gray Flycatcher,Empidonax wrightii
1228,Dusky Flycatcher,Empidonax oberholseri
1229,Pine Flycatcher,Empidonax affinis
1230,Pacific-slope Flycatcher,Empidonax difficilis
1231,Cordilleran Flycatcher,Empidonax occidentalis
1232,Yellowish Flycatcher,Empidonax flavescens
1233,Buff-breasted Flycatcher,Empidonax fulvifrons
1234,Black-capped Flycatcher,Empidonax atriceps
1235,Black Phoebe,Sayornis nigricans
1236,Eastern Phoebe,Sayornis phoebe
1237,Say's Phoebe,Sayornis saya
1238,Vermilion Flycatcher,Pyrocephalus rubinus
1239,Pied Water-Tyrant,Fluvicola pica
1240,Long-tailed Tyrant,Colonia colonus
1241,Cattle Tyrant,Machetornis rixosa
1242,Bright-rumped Attila,Attila spadiceus
1243,Choco Sirystes,Sirystes albogriseus
1244,Rufous Mourner,Rhytipterna holerythra
1245,Yucatan Flycatcher,Myiarchus yucatanensis
1246,Sad Flycatcher,Myiarchus barbirostris
1247,Dusky-capped Flycatcher,Myiarchus tuberculifer
1248,Panama Flycatcher,Myiarchus panamensis
1249,Ash-throated Flycatcher,Myiarchus cinerascens
1250,Nutting's Flycatcher,Myiarchus nuttingi
1251,Great Crested Flycatcher,Myiarchus crinitus
1252,Brown-crested Flycatcher,Myiarchus tyrannulus
1253,Grenada Flycatcher,Myiarchus nugator
1254,Rufous-tailed Flycatcher,Myiarchus validus
1255,La Sagra's Flycatcher,Myiarchus sagrae
1256,Stolid Flycatcher,Myiarchus stolidus
1257,Puerto Rican Flycatcher,Myiarchus antillarum
1258,Lesser Antillean Flycatcher,Myiarchus oberi
1259,Flammulated Flycatcher,Deltarhynchus flammulatus
1260,Lesser Kiskadee,Pitangus lictor
1261,Great Kiskadee,Pitangus sulphuratus
1262,Boat-billed Flycatcher,Megarynchus pitangua
1263,Rusty-margined Flycatcher,Myiozetetes cayanensis
1264,Social Flycatcher,Myiozetetes similis
1265,Gray-capped Flycatcher,Myiozetetes granadensis
1266,White-ringed Flycatcher,Conopias albovittatus
1267,Golden-bellied Flycatcher,Myiodynastes hemichrysus
1268,Golden-crowned Flycatcher,Myiodynastes chrysocephalus
1269,Streaked Flycatcher,Myiodynastes maculatus
1270,Sulphur-bellied Flycatcher,Myiodynastes luteiventris
1271,Piratic Flycatcher,Legatus leucophaius
1272,Variegated Flycatcher,Empidonomus varius
1273,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus
1274,Tropical Kingbird,Tyrannus melancholicus
1275,Couch's Kingbird,Tyrannus couchii
1276,Cassin's Kingbird,Tyrannus vociferans
1277,Thick-billed Kingbird,Tyrannus crassirostris
1278,Western Kingbird,Tyrannus verticalis
1279,Eastern Kingbird,Tyrannus tyrannus
1280,Gray Kingbird,Tyrannus dominicensis
1281,Loggerhead Kingbird,Tyrannus caudifasciatus
1282,Giant Kingbird,Tyrannus cubensis
1283,Scissor-tailed Flycatcher,Tyrannus forficatus
1284,Fork-tailed Flycatcher,Tyrannus savana
1285,Gray-headed Piprites,Piprites griseiceps
1286,Northern Schiffornis,Schiffornis veraepacis
1287,Russet-winged Schiffornis,Schiffornis stenorhyncha
1288,Speckled Mourner,Laniocera rufescens
1289,Masked Tityra,Tityra semifasciata
1290,Black-crowned Tityra,Tityra inquisitor
1291,Barred Becard,Pachyramphus versicolor
1292,Cinereous Becard,Pachyramphus rufus
1293,Cinnamon Becard,Pachyramphus cinnamomeus
1294,White-winged Becard,Pachyramphus polychopterus
1295,Black-and-white Becard,Pachyramphus albogriseus
1296,Gray-collared Becard,Pachyramphus major
1297,Rose-throated Becard,Pachyramphus aglaiae
1298,One-colored Becard,Pachyramphus homochrous
1299,Jamaican Becard,Pachyramphus niger
1300,Purple-throated Fruitcrow,Querula purpurata
1301,Bare-necked Umbrellabird,Cephalopterus glabricollis
1302,Lovely Cotinga,Cotinga amabilis
1303,Turquoise Cotinga,Cotinga ridgwayi
1304,Blue Cotinga,Cotinga nattererii
1305,Rufous Piha,Lipaugus unirufus
1306,Three-wattled Bellbird,Procnias tricarunculatus
1307,Black-tipped Cotinga,Carpodectes hopkei
1308,Yellow-billed Cotinga,Carpodectes antoniae
1309,Snowy Cotinga,Carpodectes nitidus
1310,Lance-tailed Manakin,Chiroxiphia lanceolata
1311,Long-tailed Manakin,Chiroxiphia linearis
1312,White-ruffed Manakin,Corapipo altera
1313,Green Manakin,Cryptopipo holochlora
1314,Blue-crowned Manakin,Lepidothrix coronata
1315,White-collared Manakin,Manacus candei
1316,Orange-collared Manakin,Manacus aurantiacus
1317,Golden-collared Manakin,Manacus vitellinus
1318,White-crowned Manakin,Dixiphia pipra
1319,Red-capped Manakin,Ceratopipra mentalis
1320,Golden-headed Manakin,Ceratopipra erythrocephala
1321,Sharpbill,Oxyruncus cristatus
1322,Brown Shrike,Lanius cristatus
1323,Loggerhead Shrike,Lanius ludovicianus
1324,Northern Shrike,Lanius borealis
1325,Rufous-browed Peppershrike,Cyclarhis gujanensis
1326,Scrub Greenlet,Hylophilus flavipes
1327,Chestnut-sided Shrike-Vireo,Vireolanius melitophrys
1328,Green Shrike-Vireo,Vireolanius pulchellus
1329,Yellow-browed Shrike-Vireo,Vireolanius eximius
1330,Tawny-crowned Greenlet,Tunchiornis ochraceiceps
1331,Lesser Greenlet,Pachysylvia decurtata
1332,Golden-fronted Greenlet,Pachysylvia aurantiifrons
1333,Golden Vireo,Vireo hypochryseus
1334,Blue Mountain Vireo,Vireo osburni
1335,Slaty Vireo,Vireo brevipennis
1336,Black-capped Vireo,Vireo atricapilla
1337,Dwarf Vireo,Vireo nelsoni
1338,White-eyed Vireo,Vireo griseus
1339,Thick-billed Vireo,Vireo crassirostris
1340,Mangrove Vireo,Vireo pallens
1341,Cozumel Vireo,Vireo bairdi
1342,San Andres Vireo,Vireo caribaeus
1343,Jamaican Vireo,Vireo modestus
1344,Cuban Vireo,Vireo gundlachii
1345,Puerto Rican Vireo,Vireo latimeri
1346,Flat-billed Vireo,Vireo nanus
1347,Bell's Vireo,Vireo bellii
1348,Gray Vireo,Vireo vicinior
1349,Hutton's Vireo,Vireo huttoni
1350,Yellow-throated Vireo,Vireo flavifrons
1351,Yellow-winged Vireo,Vireo carmioli
1352,Cassin's Vireo,Vireo cassinii
1353,Blue-headed Vireo,Vireo solitarius
1354,Plumbeous Vireo,Vireo plumbeus
1355,Philadelphia Vireo,Vireo philadelphicus
1356,Warbling Vireo,Vireo gilvus
1357,Brown-capped Vireo,Vireo leucophrys
1358,Red-eyed Vireo,Vireo olivaceus
1359,Yellow-green Vireo,Vireo flavoviridis
1360,Black-whiskered Vireo,Vireo altiloquus
1361,Yucatan Vireo,Vireo magister
1362,Gray Jay,Perisoreus canadensis
1363,White-throated Jay,Cyanolyca mirabilis
1364,Dwarf Jay,Cyanolyca nana
1365,Black-throated Jay,Cyanolyca pumilo
1366,Silvery-throated Jay,Cyanolyca argentigula
1367,Azure-hooded Jay,Cyanolyca cucullata
1368,Black-throated Magpie-Jay,Calocitta colliei
1369,White-throated Magpie-Jay,Calocitta formosa
1370,Brown Jay,Psilorhinus morio
1371,Tufted Jay,Cyanocorax dickeyi
1372,Black-chested Jay,Cyanocorax affinis
1373,Green Jay,Cyanocorax yncas
1374,Bushy-crested Jay,Cyanocorax melanocyaneus
1375,San Blas Jay,Cyanocorax sanblasianus
1376,Yucatan Jay,Cyanocorax yucatanicus
1377,Purplish-backed Jay,Cyanocorax beecheii
1378,Pinyon Jay,Gymnorhinus cyanocephalus
1379,Steller's Jay,Cyanocitta stelleri
1380,Blue Jay,Cyanocitta cristata
1381,Florida Scrub-Jay,Aphelocoma coerulescens
1382,Island Scrub-Jay,Aphelocoma insularis
1383,California Scrub-Jay,Aphelocoma californica
1384,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii
1385,Transvolcanic Jay,Aphelocoma ultramarina
1386,Mexican Jay,Aphelocoma wollweberi
1387,Unicolored Jay,Aphelocoma unicolor
1388,Clark's Nutcracker,Nucifraga columbiana
1389,Black-billed Magpie,Pica hudsonia
1390,Yellow-billed Magpie,Pica nuttalli
1391,Eurasian Jackdaw,Corvus monedula
1392,Rook,Corvus frugilegus
1393,American Crow,Corvus brachyrhynchos
1394,Northwestern Crow,Corvus caurinus
1395,Palm Crow,Corvus palmarum
1396,Cuban Crow,Corvus nasicus
1397,White-necked Crow,Corvus leucognaphalus
1398,Hooded Crow,Corvus cornix
1399,Jamaican Crow,Corvus jamaicensis
1400,Tamaulipas Crow,Corvus imparatus
1401,Sinaloa Crow,Corvus sinaloae
1402,Fish Crow,Corvus ossifragus
1403,Hawaiian Crow,Corvus hawaiiensis
1404,Chihuahuan Raven,Corvus cryptoleucus
1405,Common Raven,Corvus corax
1406,Kauai Elepaio,Chasiempis sclateri
1407,Oahu Elepaio,Chasiempis ibidis
1408,Hawaii Elepaio,Chasiempis sandwichensis
1409,Eurasian Skylark,Alauda arvensis
1410,Horned Lark,Eremophila alpestris
1411,Purple Martin,Progne subis
1412,Cuban Martin,Progne cryptoleuca
1413,Caribbean Martin,Progne dominicensis
1414,Sinaloa Martin,Progne sinaloae
1415,Gray-breasted Martin,Progne chalybea
1416,Southern Martin,Progne elegans
1417,Brown-chested Martin,Progne tapera
1418,Tree Swallow,Tachycineta bicolor
1419,Mangrove Swallow,Tachycineta albilinea
1420,Golden Swallow,Tachycineta euchrysea
1421,Violet-green Swallow,Tachycineta thalassina
1422,Bahama Swallow,Tachycineta cyaneoviridis
1423,Blue-and-white Swallow,Pygochelidon cyanoleuca
1424,Black-capped Swallow,Atticora pileata
1425,White-thighed Swallow,Atticora tibialis
1426,Northern Rough-winged Swallow,Stelgidopteryx serripennis
1427,Southern Rough-winged Swallow,Stelgidopteryx ruficollis
1428,Bank Swallow,Riparia riparia
1429,Cliff Swallow,Petrochelidon pyrrhonota
1430,Cave Swallow,Petrochelidon fulva
1431,Barn Swallow,Hirundo rustica
1432,Common House-Martin,Delichon urbicum
1433,Carolina Chickadee,Poecile carolinensis
1434,Black-capped Chickadee,Poecile atricapillus
1435,Mountain Chickadee,Poecile gambeli
1436,Mexican Chickadee,Poecile sclateri
1437,Chestnut-backed Chickadee,Poecile rufescens
1438,Boreal Chickadee,Poecile hudsonicus
1439,Gray-headed Chickadee,Poecile cinctus
1440,Bridled Titmouse,Baeolophus wollweberi
1441,Oak Titmouse,Baeolophus inornatus
1442,Juniper Titmouse,Baeolophus ridgwayi
1443,Tufted Titmouse,Baeolophus bicolor
1444,Black-crested Titmouse,Baeolophus atricristatus
1445,Verdin,Auriparus flaviceps
1446,Bushtit,Psaltriparus minimus
1447,Red-breasted Nuthatch,Sitta canadensis
1448,White-breasted Nuthatch,Sitta carolinensis
1449,Pygmy Nuthatch,Sitta pygmaea
1450,Brown-headed Nuthatch,Sitta pusilla
1451,Brown Creeper,Certhia americana
1452,Rock Wren,Salpinctes obsoletus
1453,Nightingale Wren,Microcerculus philomela
1454,Scaly-breasted Wren,Microcerculus marginatus
1455,Canyon Wren,Catherpes mexicanus
1456,Sumichrast's Wren,Hylorchilus sumichrasti
1457,Nava's Wren,Hylorchilus navai
1458,Zapata Wren,Ferminia cerverai
1459,House Wren,Troglodytes aedon
1460,Socorro Wren,Troglodytes sissonii
1461,Clarion Wren,Troglodytes tanneri
1462,Rufous-browed Wren,Troglodytes rufociliatus
1463,Ochraceous Wren,Troglodytes ochraceus
1464,Pacific Wren,Troglodytes pacificus
1465,Winter Wren,Troglodytes hiemalis
1466,Timberline Wren,Thryorchilus browni
1467,Sedge Wren,Cistothorus platensis
1468,Marsh Wren,Cistothorus palustris
1469,Carolina Wren,Thryothorus ludovicianus
1470,Bewick's Wren,Thryomanes bewickii
1471,White-headed Wren,Campylorhynchus albobrunneus
1472,Band-backed Wren,Campylorhynchus zonatus
1473,Gray-barred Wren,Campylorhynchus megalopterus
1474,Giant Wren,Campylorhynchus chiapensis
1475,Bicolored Wren,Campylorhynchus griseus
1476,Rufous-naped Wren,Campylorhynchus rufinucha
1477,Spotted Wren,Campylorhynchus gularis
1478,Boucard's Wren,Campylorhynchus jocosus
1479,Yucatan Wren,Campylorhynchus yucatanicus
1480,Cactus Wren,Campylorhynchus brunneicapillus
1481,Sooty-headed Wren,Pheugopedius spadix
1482,Black-throated Wren,Pheugopedius atrogularis
1483,Rufous-breasted Wren,Pheugopedius rutilus
1484,Spot-breasted Wren,Pheugopedius maculipectus
1485,Happy Wren,Pheugopedius felix
1486,Black-bellied Wren,Pheugopedius fasciatoventris
1487,Rufous-and-white Wren,Thryophilus rufalbus
1488,Sinaloa Wren,Thryophilus sinaloa
1489,Banded Wren,Thryophilus pleurostictus
1490,Stripe-throated Wren,Cantorchilus leucopogon
1491,Stripe-breasted Wren,Cantorchilus thoracicus
1492,Cabanis's Wren,Cantorchilus modestus
1493,Canebrake Wren,Cantorchilus zeledoni
1494,Isthmian Wren,Cantorchilus elutus
1495,Bay Wren,Cantorchilus nigricapillus
1496,Riverside Wren,Cantorchilus semibadius
1497,Buff-breasted Wren,Cantorchilus leucotis
1498,White-bellied Wren,Uropsila leucogastra
1499,White-breasted Wood-Wren,Henicorhina leucosticta
1500,Gray-breasted Wood-Wren,Henicorhina leucophrys
1501,Song Wren,Cyphorhinus phaeocephalus
1502,Tawny-faced Gnatwren,Microbates cinereiventris
1503,Long-billed Gnatwren,Ramphocaenus melanurus
1504,Blue-gray Gnatcatcher,Polioptila caerulea
1505,Cuban Gnatcatcher,Polioptila lembeyei
1506,California Gnatcatcher,Polioptila californica
1507,Black-tailed Gnatcatcher,Polioptila melanura
1508,Black-capped Gnatcatcher,Polioptila nigriceps
1509,White-lored Gnatcatcher,Polioptila albiloris
1510,Tropical Gnatcatcher,Polioptila plumbea
1511,Slate-throated Gnatcatcher,Polioptila schistaceigula
1512,American Dipper,Cinclus mexicanus
1513,Red-vented Bulbul,Pycnonotus cafer
1514,Red-whiskered Bulbul,Pycnonotus jocosus
1515,Golden-crowned Kinglet,Regulus satrapa
1516,Ruby-crowned Kinglet,Regulus calendula
1517,Japanese Bush-Warbler,Cettia diphone
1518,Willow Warbler,Phylloscopus trochilus
1519,Common Chiffchaff,Phylloscopus collybita
1520,Wood Warbler,Phylloscopus sibilatrix
1521,Dusky Warbler,Phylloscopus fuscatus
1522,Pallas's Leaf Warbler,Phylloscopus proregulus
1523,Yellow-browed Warbler,Phylloscopus inornatus
1524,Arctic Warbler,Phylloscopus borealis
1525,Kamchatka Leaf Warbler,Phylloscopus examinandus
1526,Eurasian Blackcap,Sylvia atricapilla
1527,Lesser Whitethroat,Sylvia curruca
1528,Wrentit,Chamaea fasciata
1529,Japanese White-eye,Zosterops japonicus
1530,Greater Necklaced Laughingthrush,Garrulax pectoralis
1531,Hwamei,Garrulax canorus
1532,Red-billed Leiothrix,Leiothrix lutea
1533,Millerbird,Acrocephalus familiaris
1534,Sedge Warbler,Acrocephalus schoenobaenus
1535,Blyth's Reed Warbler,Acrocephalus dumetorum
1536,Black-capped Donacobius,Donacobius atricapilla
1537,Middendorff's Grasshopper-Warbler,Locustella ochotensis
1538,Lanceolated Warbler,Locustella lanceolata
1539,Gray-streaked Flycatcher,Muscicapa griseisticta
1540,Asian Brown Flycatcher,Muscicapa dauurica
1541,Spotted Flycatcher,Muscicapa striata
1542,Dark-sided Flycatcher,Muscicapa sibirica
1543,White-rumped Shama,Copsychus malabaricus
1544,Rufous-tailed Robin,Luscinia sibilans
1545,Siberian Rubythroat,Luscinia calliope
1546,Bluethroat,Luscinia svecica
1547,Siberian Blue Robin,Luscinia cyane
1548,Red-flanked Bluetail,Tarsiger cyanurus
1549,Narcissus Flycatcher,Ficedula narcissina
1550,Mugimaki Flycatcher,Ficedula mugimaki
1551,Taiga Flycatcher,Ficedula albicilla
1552,Common Redstart,Phoenicurus phoenicurus
1553,Stonechat,Saxicola torquatus
1554,Northern Wheatear,Oenanthe oenanthe
1555,Eastern Bluebird,Sialia sialis
1556,Western Bluebird,Sialia mexicana
1557,Mountain Bluebird,Sialia currucoides
1558,Townsend's Solitaire,Myadestes townsendi
1559,Brown-backed Solitaire,Myadestes occidentalis
1560,Cuban Solitaire,Myadestes elisabeth
1561,Rufous-throated Solitaire,Myadestes genibarbis
1562,Black-faced Solitaire,Myadestes melanops
1563,Varied Solitaire,Myadestes coloratus
1564,Slate-colored Solitaire,Myadestes unicolor
1565,Kamao,Myadestes myadestinus
1566,Amaui,Myadestes woahensis
1567,Olomao,Myadestes lanaiensis
1568,Omao,Myadestes obscurus
1569,Puaiohi,Myadestes palmeri
1570,White's Thrush,Zoothera aurea
1571,Black-billed Nightingale-Thrush,Catharus gracilirostris
1572,Orange-billed Nightingale-Thrush,Catharus aurantiirostris
1573,Slaty-backed Nightingale-Thrush,Catharus fuscater
1574,Russet Nightingale-Thrush,Catharus occidentalis
1575,Ruddy-capped Nightingale-Thrush,Catharus frantzii
1576,Black-headed Nightingale-Thrush,Catharus mexicanus
1577,Spotted Nightingale-Thrush,Catharus dryas
1578,Veery,Catharus fuscescens
1579,Gray-cheeked Thrush,Catharus minimus
1580,Bicknell's Thrush,Catharus bicknelli
1581,Swainson's Thrush,Catharus ustulatus
1582,Hermit Thrush,Catharus guttatus
1583,Wood Thrush,Hylocichla mustelina
1584,Eurasian Blackbird,Turdus merula
1585,Eyebrowed Thrush,Turdus obscurus
1586,Dusky Thrush,Turdus naumanni
1587,Fieldfare,Turdus pilaris
1588,Redwing,Turdus iliacus
1589,Song Thrush,Turdus philomelos
1590,Sooty Thrush,Turdus nigrescens
1591,Black Thrush,Turdus infuscatus
1592,Mountain Thrush,Turdus plebejus
1593,Cocoa Thrush,Turdus fumigatus
1594,Pale-vented Thrush,Turdus obsoletus
1595,Clay-colored Thrush,Turdus grayi
1596,Spectacled Thrush,Turdus nudigenis
1597,White-eyed Thrush,Turdus jamaicensis
1598,White-throated Thrush,Turdus assimilis
1599,Rufous-backed Robin,Turdus rufopalliatus
1600,Rufous-collared Robin,Turdus rufitorques
1601,American Robin,Turdus migratorius
1602,La Selle Thrush,Turdus swalesi
1603,White-chinned Thrush,Turdus aurantius
1604,Grand Cayman Thrush,Turdus ravidus
1605,Red-legged Thrush,Turdus plumbeus
1606,Forest Thrush,Turdus lherminieri
1607,Varied Thrush,Ixoreus naevius
1608,Aztec Thrush,Ridgwayia pinicola
1609,Blue Mockingbird,Melanotis caerulescens
1610,Blue-and-white Mockingbird,Melanotis hypoleucus
1611,Black Catbird,Melanoptila glabrirostris
1612,Gray Catbird,Dumetella carolinensis
1613,White-breasted Thrasher,Ramphocinclus brachyurus
1614,Scaly-breasted Thrasher,Allenia fusca
1615,Pearly-eyed Thrasher,Margarops fuscatus
1616,Brown Trembler,Cinclocerthia ruficauda
1617,Gray Trembler,Cinclocerthia gutturalis
1618,Curve-billed Thrasher,Toxostoma curvirostre
1619,Ocellated Thrasher,Toxostoma ocellatum
1620,Brown Thrasher,Toxostoma rufum
1621,Long-billed Thrasher,Toxostoma longirostre
1622,Cozumel Thrasher,Toxostoma guttatum
1623,Bendire's Thrasher,Toxostoma bendirei
1624,Gray Thrasher,Toxostoma cinereum
1625,California Thrasher,Toxostoma redivivum
1626,LeConte's Thrasher,Toxostoma lecontei
1627,Crissal Thrasher,Toxostoma crissale
1628,Sage Thrasher,Oreoscoptes montanus
1629,Bahama Mockingbird,Mimus gundlachii
1630,Socorro Mockingbird,Mimus graysoni
1631,Tropical Mockingbird,Mimus gilvus
1632,Northern Mockingbird,Mimus polyglottos
1633,European Starling,Sturnus vulgaris
1634,Common Myna,Acridotheres tristis
1635,Hill Myna,Gracula religiosa
1636,Bohemian Waxwing,Bombycilla garrulus
1637,Cedar Waxwing,Bombycilla cedrorum
1638,Kauai Oo,Moho braccatus
1639,Oahu Oo,Moho apicalis
1640,Bishop's Oo,Moho bishopi
1641,Hawaii Oo,Moho nobilis
1642,Kioea,Chaetoptila angustipluma
1643,Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha
1644,Gray Silky-flycatcher,Ptiliogonys cinereus
1645,Long-tailed Silky-flycatcher,Ptiliogonys caudatus
1646,Phainopepla,Phainopepla nitens
1647,Palmchat,Dulus dominicus
1648,Olive Warbler,Peucedramus taeniatus
1649,Siberian Accentor,Prunella montanella
1650,Village Weaver,Ploceus cucullatus
1651,Northern Red Bishop,Euplectes franciscanus
1652,Yellow-crowned Bishop,Euplectes afer
1653,Pin-tailed Whydah,Vidua macroura
1654,Red-cheeked Cordonbleu,Uraeginthus bengalus
1655,Lavender Waxbill,Estrilda caerulescens
1656,Orange-cheeked Waxbill,Estrilda melpoda
1657,Black-rumped Waxbill,Estrilda troglodytes
1658,Common Waxbill,Estrilda astrild
1659,Red Avadavat,Amandava amandava
1660,Bronze Mannikin,Spermestes cucullata
1661,Indian Silverbill,Euodice malabarica
1662,African Silverbill,Euodice cantans
1663,Java Sparrow,Lonchura oryzivora
1664,Scaly-breasted Munia,Lonchura punctulata
1665,Tricolored Munia,Lonchura malacca
1666,Chestnut Munia,Lonchura atricapilla
1667,House Sparrow,Passer domesticus
1668,Eurasian Tree Sparrow,Passer montanus
1669,Eastern Yellow Wagtail,Motacilla tschutschensis
1670,Citrine Wagtail,Motacilla citreola
1671,Gray Wagtail,Motacilla cinerea
1672,White Wagtail,Motacilla alba
1673,Tree Pipit,Anthus trivialis
1674,Olive-backed Pipit,Anthus hodgsoni
1675,Pechora Pipit,Anthus gustavi
1676,Red-throated Pipit,Anthus cervinus
1677,American Pipit,Anthus rubescens
1678,Meadow Pipit,Anthus pratensis
1679,Sprague's Pipit,Anthus spragueii
1680,Yellowish Pipit,Anthus lutescens
1681,Common Chaffinch,Fringilla coelebs
1682,Brambling,Fringilla montifringilla
1683,Yellow-collared Chlorophonia,Chlorophonia flavirostris
1684,Blue-crowned Chlorophonia,Chlorophonia occipitalis
1685,Golden-browed Chlorophonia,Chlorophonia callophrys
1686,Jamaican Euphonia,Euphonia jamaica
1687,Scrub Euphonia,Euphonia affinis
1688,Yellow-crowned Euphonia,Euphonia luteicapilla
1689,Thick-billed Euphonia,Euphonia laniirostris
1690,Yellow-throated Euphonia,Euphonia hirundinacea
1691,Antillean Euphonia,Euphonia musica
1692,Elegant Euphonia,Euphonia elegantissima
1693,Fulvous-vented Euphonia,Euphonia fulvicrissa
1694,Spot-crowned Euphonia,Euphonia imitans
1695,Olive-backed Euphonia,Euphonia gouldi
1696,White-vented Euphonia,Euphonia minuta
1697,Tawny-capped Euphonia,Euphonia anneae
1698,Orange-bellied Euphonia,Euphonia xanthogaster
1699,Hooded Grosbeak,Coccothraustes abeillei
1700,Evening Grosbeak,Coccothraustes vespertinus
1701,Hawfinch,Coccothraustes coccothraustes
1702,Common Rosefinch,Carpodacus erythrinus
1703,Poo-uli,Melamprosops phaeosoma
1704,Akikiki,Oreomystis bairdi
1705,Oahu Alauahio,Paroreomyza maculata
1706,Kakawahie,Paroreomyza flammea
1707,Maui Alauahio,Paroreomyza montana
1708,Palila,Loxioides bailleui
1709,Laysan Finch,Telespiza cantans
1710,Nihoa Finch,Telespiza ultima
1711,Kona Grosbeak,Chloridops kona
1712,Lesser Koa-Finch,Rhodacanthis flaviceps
1713,Greater Koa-Finch,Rhodacanthis palmeri
1714,Ula-ai-hawane,Ciridops anna
1715,Akohekohe,Palmeria dolei
1716,Laysan Honeycreeper,Himatione fraithii
1717,Apapane,Himatione sanguinea
1718,Iiwi,Drepanis coccinea
1719,Hawaii Mamo,Drepanis pacifica
1720,Black Mamo,Drepanis funerea
1721,Ou,Psittirostra psittacea
1722,Lanai Hookbill,Dysmorodrepanis munroi
1723,Maui Parrotbill,Pseudonestor xanthophrys
1724,Kauai Nukupuu,Hemignathus hanapepe
1725,Oahu Nukupuu,Hemignathus lucidus
1726,Maui Nukupuu,Hemignathus affinis
1727,Akiapolaau,Hemignathus wilsoni
1728,Lesser Akialoa,Akialoa obscura
1729,Kauai Akialoa,Akialoa stejnegeri
1730,Oahu Akialoa,Akialoa ellisiana
1731,Maui-nui Akialoa,Akialoa lanaiensis
1732,Anianiau,Magumma parva
1733,Hawaii Amakihi,Chlorodrepanis virens
1734,Oahu Amakihi,Chlorodrepanis flava
1735,Kauai Amakihi,Chlorodrepanis stejnegeri
1736,Greater Amakihi,Viridonia sagittirostris
1737,Hawaii Creeper,Loxops mana
1738,Akekee,Loxops caeruleirostris
1739,Oahu Akepa,Loxops wolstenholmei
1740,Maui Akepa,Loxops ochraceus
1741,Hawaii Akepa,Loxops coccineus
1742,Pine Grosbeak,Pinicola enucleator
1743,Eurasian Bullfinch,Pyrrhula pyrrhula
1744,Asian Rosy-Finch,Leucosticte arctoa
1745,Gray-crowned Rosy-Finch,Leucosticte tephrocotis
1746,Black Rosy-Finch,Leucosticte atrata
1747,Brown-capped Rosy-Finch,Leucosticte australis
1748,House Finch,Haemorhous mexicanus
1749,Purple Finch,Haemorhous purpureus
1750,Cassin's Finch,Haemorhous cassinii
1751,Oriental Greenfinch,Chloris sinica
1752,Yellow-fronted Canary,Crithagra mozambica
1753,Common Redpoll,Acanthis flammea
1754,Lesser Redpoll,Acanthis cabaret
1755,Hoary Redpoll,Acanthis hornemanni
1756,Red Crossbill,Loxia curvirostra
1757,Cassia Crossbill,Loxia sinesciuris
1758,Hispaniolan Crossbill,Loxia megaplaga
1759,White-winged Crossbill,Loxia leucoptera
1760,European Goldfinch,Carduelis carduelis
1761,Eurasian Siskin,Spinus spinus
1762,Pine Siskin,Spinus pinus
1763,Black-capped Siskin,Spinus atriceps
1764,Black-headed Siskin,Spinus notatus
1765,Yellow-bellied Siskin,Spinus xanthogastrus
1766,Red Siskin,Spinus cucullatus
1767,Antillean Siskin,Spinus dominicensis
1768,Lesser Goldfinch,Spinus psaltria
1769,Lawrence's Goldfinch,Spinus lawrencei
1770,American Goldfinch,Spinus tristis
1771,Island Canary,Serinus canaria
1772,Lapland Longspur,Calcarius lapponicus
1773,Chestnut-collared Longspur,Calcarius ornatus
1774,Smith's Longspur,Calcarius pictus
1775,McCown's Longspur,Rhynchophanes mccownii
1776,Snow Bunting,Plectrophenax nivalis
1777,McKay's Bunting,Plectrophenax hyperboreus
1778,Rosy Thrush-Tanager,Rhodinocichla rosea
1779,Pine Bunting,Emberiza leucocephalos
1780,Yellow-browed Bunting,Emberiza chrysophrys
1781,Little Bunting,Emberiza pusilla
1782,Rustic Bunting,Emberiza rustica
1783,Yellow-throated Bunting,Emberiza elegans
1784,Yellow-breasted Bunting,Emberiza aureola
