ID,Species,Scientific.Name
252,Black Swift,Cypseloides niger
253,White-fronted Swift,Cypseloides storeri
254,White-chinned Swift,Cypseloides cryptus
255,Spot-fronted Swift,Cypseloides cherriei
256,Chestnut-collared Swift,Streptoprocne rutila
257,White-collared Swift,Streptoprocne zonaris
258,White-naped Swift,Streptoprocne semicollaris
259,Chimney Swift,Chaetura pelagica
260,Vaux's Swift,Chaetura vauxi
261,Chapman's Swift,Chaetura chapmani
262,Short-tailed Swift,Chaetura brachyura
263,Sick's Swift,Chaetura meridionalis
264,Band-rumped Swift,Chaetura spinicaudus
265,Costa Rican Swift,Chaetura fumosa
266,Gray-rumped Swift,Chaetura cinereiventris
267,Lesser Antillean Swift,Chaetura martinica
268,White-throated Needletail,Hirundapus caudacutus
269,Mariana Swiftlet,Aerodramus bartschi
270,Common Swift,Apus apus
271,Fork-tailed Swift,Apus pacificus
272,Alpine Swift,Apus melba
273,White-throated Swift,Aeronautes saxatalis
274,Lesser Swallow-tailed Swift,Panyptila cayennensis
275,Great Swallow-tailed Swift,Panyptila sanctihieronymi
276,Antillean Palm-Swift,Tachornis phoenicobia
277,White-necked Jacobin,Florisuga mellivora
278,White-tipped Sicklebill,Eutoxeres aquila
279,Bronzy Hermit,Glaucis aeneus
280,Rufous-breasted Hermit,Glaucis hirsutus
281,Band-tailed Barbthroat,Threnetes ruckeri
282,Green Hermit,Phaethornis guy
283,Mexican Hermit,Phaethornis mexicanus
284,Long-billed Hermit,Phaethornis longirostris
285,Pale-bellied Hermit,Phaethornis anthophilus
286,Stripe-throated Hermit,Phaethornis striigularis
287,Green-fronted Lancebill,Doryfera ludovicae
288,Brown Violetear,Colibri delphinae
289,Mexican Violetear,Colibri thalassinus
290,Lesser Violetear,Colibri cyanotus
291,Tooth-billed Hummingbird,Androdon aequatorialis
292,Purple-crowned Fairy,Heliothryx barroti
293,Ruby-topaz Hummingbird,Chrysolampis mosquitus
294,Green-breasted Mango,Anthracothorax prevostii
295,Black-throated Mango,Anthracothorax nigricollis
296,Veraguan Mango,Anthracothorax veraguensis
297,Antillean Mango,Anthracothorax dominicus
298,Green Mango,Anthracothorax viridis
299,Jamaican Mango,Anthracothorax mango
300,Purple-throated Carib,Eulampis jugularis
301,Green-throated Carib,Eulampis holosericeus
302,Green Thorntail,Discosura conversii
303,Short-crested Coquette,Lophornis brachylophus
304,Rufous-crested Coquette,Lophornis delattrei
305,Black-crested Coquette,Lophornis helenae
306,White-crested Coquette,Lophornis adorabilis
307,Greenish Puffleg,Haplophaedia aureliae
308,Green-crowned Brilliant,Heliodoxa jacula
309,Rivoli's Hummingbird,Eugenes fulgens
310,Talamanca Hummingbird,Eugenes spectabilis
311,Fiery-throated Hummingbird,Panterpe insignis
312,Long-billed Starthroat,Heliomaster longirostris
313,Plain-capped Starthroat,Heliomaster constantii
314,Green-throated Mountain-gem,Lampornis viridipallens
315,Green-breasted Mountain-gem,Lampornis sybillae
316,Amethyst-throated Hummingbird,Lampornis amethystinus
317,Blue-throated Hummingbird,Lampornis clemenciae
318,White-bellied Mountain-gem,Lampornis hemileucus
319,Purple-throated Mountain-gem,Lampornis calolaemus
320,White-throated Mountain-gem,Lampornis castaneoventris
321,Garnet-throated Hummingbird,Lamprolaima rhami
322,Bahama Woodstar,Calliphlox evelynae
323,Inagua Woodstar,Calliphlox lyrura
324,Magenta-throated Woodstar,Calliphlox bryantae
325,Purple-throated Woodstar,Calliphlox mitchellii
326,Slender Sheartail,Doricha enicura
327,Mexican Sheartail,Doricha eliza
328,Sparkling-tailed Hummingbird,Tilmatura dupontii
329,Lucifer Hummingbird,Calothorax lucifer
330,Beautiful Hummingbird,Calothorax pulcher
331,Ruby-throated Hummingbird,Archilochus colubris
332,Black-chinned Hummingbird,Archilochus alexandri
333,Vervain Hummingbird,Mellisuga minima
334,Bee Hummingbird,Mellisuga helenae
335,Anna's Hummingbird,Calypte anna
336,Costa's Hummingbird,Calypte costae
337,Bumblebee Hummingbird,Atthis heloisa
338,Wine-throated Hummingbird,Atthis ellioti
339,Broad-tailed Hummingbird,Selasphorus platycercus
340,Rufous Hummingbird,Selasphorus rufus
341,Allen's Hummingbird,Selasphorus sasin
342,Volcano Hummingbird,Selasphorus flammula
343,Glow-throated Hummingbird,Selasphorus ardens
344,Scintillant Hummingbird,Selasphorus scintilla
345,Calliope Hummingbird,Selasphorus calliope
346,Golden-crowned Emerald,Chlorostilbon auriceps
347,Cozumel Emerald,Chlorostilbon forficatus
348,Canivet's Emerald,Chlorostilbon canivetii
349,Garden Emerald,Chlorostilbon assimilis
350,Cuban Emerald,Chlorostilbon ricordii
351,Brace's Emerald,Chlorostilbon bracei
352,Hispaniolan Emerald,Chlorostilbon swainsonii
